"","employee_id","gender","age","education","department","job_level","years_experience","salary","bonus","performance_rating","date_joined","location","tenure_years","attrition_flag","base_salary","variable_pay","total_compensation","employee_satisfaction","work_life_balance_score","training_hours","certifications_count","absences_last_year","hours_worked_per_week","salary_bucket","experience_bucket","hours_bin","wlb_bin"
"1","E0001","Female",23,"Bachelors","IT",2,0,741000,36300,2,2019-06-25,"Pune",5.5,"No",609100,131900,777300,3,6,18,1,5,37,"Low","0–5","36–40","6–7"
"2","E0002","Male",37,"Masters","IT",4,15,2260000,714100,5,2014-01-29,"Chennai",10.9,"No",1877800,382200,2974100,5,8,18,1,4,36,"High","11–20","36–40","8–10"
"3","E0003","Female",26,"Bachelors","IT",3,4,1122000,126900,3,2014-06-12,"Bangalore",10.6,"No",965700,156300,1248900,7,5,52,1,5,48,"Medium","0–5","46–50","4–5"
"4","E0004","Male",21,"High School","Finance",1,0,628000,40200,4,2018-12-30,"Chennai",6,"No",526400,101600,668200,7,3,28,0,2,45,"Low","0–5","41–45","1–3"
"5","E0005","Male",30,"High School","Finance",2,6,9e+05,127800,5,2015-06-03,"Pune",9.6,"No",763000,137000,1027800,5,7,40,3,4,42,"Medium","6–10","41–45","6–7"
"6","E0006","Female",21,"Masters","Operations",1,0,590000,25900,3,2024-12-18,"Mumbai",0,"Yes",498100,91900,615900,7,1,44,1,4,47,"Low","0–5","46–50","1–3"
"7","E0007","Male",22,"High School","Finance",1,0,519000,26400,3,2021-12-14,"Chennai",3.1,"No",443500,75500,545400,5,7,33,0,2,37,"Low","0–5","36–40","6–7"
"8","E0008","Male",35,"Bachelors","IT",3,13,1419000,192700,3,2020-03-17,"Mumbai",4.8,"No",1065200,353800,1611700,10,4,21,1,6,50,"High","11–20","46–50","4–5"
"9","E0009","Male",28,"Bachelors","IT",4,6,1836000,222800,2,2013-02-19,"Bangalore",11.9,"No",1397900,438100,2058800,2,5,28,0,1,33,"High","6–10","<=35","4–5"
"10","E0010","Female",42,"Bachelors","Sales",4,14,1869000,314800,3,2017-06-18,"Hyderabad",7.5,"No",1580700,288300,2183800,7,8,19,1,1,36,"High","11–20","36–40","8–10"
"11","E0011","Male",48,"Masters","R&D",5,26,3168000,1369300,5,2015-06-05,"Pune",9.6,"No",2428100,739900,4537300,5,6,55,0,2,43,"High","20+","41–45","6–7"
"12","E0012","Female",25,"Bachelors","Sales",1,3,644000,27100,3,2022-04-08,"Hyderabad",2.7,"No",552600,91400,671100,1,2,56,2,2,35,"Low","0–5","<=35","1–3"
"13","E0013","Male",24,"Bachelors","Operations",1,2,552000,45400,5,2010-02-07,"Mumbai",14.9,"No",467800,84200,597400,6,5,22,1,7,40,"Low","0–5","36–40","4–5"
"14","E0014","Male",24,"Masters","Operations",2,1,802000,87500,4,2016-11-24,"Pune",8.1,"No",705500,96500,889500,9,4,2,0,7,46,"Medium","0–5","46–50","4–5"
"15","E0015","Female",28,"Bachelors","HR",2,6,603000,65500,4,2024-04-14,"Pune",0.7,"No",469500,133500,668500,8,7,25,1,3,41,"Low","6–10","41–45","6–7"
"16","E0016","Male",23,"High School","IT",2,0,788000,53400,2,2022-10-11,"Hyderabad",2.2,"No",702200,85800,841400,2,5,22,1,8,39,"Medium","0–5","36–40","4–5"
"17","E0017","Female",35,"Masters","Marketing",4,10,1809000,215600,2,2013-12-16,"Hyderabad",11.1,"No",1371900,437100,2024600,7,7,40,0,4,53,"High","6–10","50+","6–7"
"18","E0018","Female",27,"Masters","Sales",3,2,1128000,172400,4,2022-05-24,"Delhi",2.6,"No",983000,145000,1300400,9,3,45,0,5,47,"Medium","0–5","46–50","1–3"
"19","E0019","Female",38,"Masters","Sales",4,16,2285000,396300,3,2013-02-12,"Pune",11.9,"No",1876800,408200,2681300,7,6,63,0,5,36,"High","11–20","36–40","6–7"
"20","E0020","Male",29,"Bachelors","IT",2,6,722000,56600,3,2016-05-25,"Pune",8.6,"No",633000,89000,778600,6,6,44,1,0,36,"Low","6–10","36–40","6–7"
"21","E0021","Male",36,"Masters","HR",3,14,1254000,220600,4,2017-04-02,"Mumbai",7.8,"No",1006600,247400,1474600,5,8,16,0,4,49,"Medium","11–20","46–50","8–10"
"22","E0022","Male",32,"High School","Finance",1,8,5e+05,17200,2,2010-11-04,"Delhi",14.2,"No",400200,99800,517200,2,4,45,1,5,41,"Low","6–10","41–45","4–5"
"23","E0023","Male",23,"Masters","HR",2,1,694000,72000,4,2019-08-23,"Delhi",5.4,"Yes",540700,153300,766000,8,7,23,1,4,47,"Low","0–5","46–50","6–7"
"24","E0024","Other",35,"Bachelors","IT",3,8,1185000,148300,3,2019-12-17,"Pune",5,"No",940700,244300,1333300,6,5,43,0,4,46,"Medium","6–10","46–50","4–5"
"25","E0025","Male",21,"High School","IT",1,0,477000,10900,2,2010-03-30,"Delhi",14.8,"No",373300,103700,487900,9,8,42,1,1,49,"Low","0–5","46–50","8–10"
"26","E0026","Male",32,"Bachelors","Sales",4,10,1725000,326900,3,2016-09-30,"Delhi",8.3,"No",1343800,381200,2051900,8,9,28,1,6,42,"High","6–10","41–45","8–10"
